question,answer,company,source_file,type
What was AMD's total revenue for fiscal year 2024?,"AMD reported record full-year 2024 revenue of $25.8 billion, up 14% year-over-year. Gross margin was 49% on a GAAP basis and 53% on a non-GAAP basis.",AMD,AMD_10-K_2025-02-05,annual_revenue
What was AMD's Data Center segment revenue for fiscal year 2024?,"AMD's Data Center segment revenue was a record $12.6 billion in 2024, an increase of 94% compared to the prior year. Growth was driven by both AMD Instinct GPU shipments (over $5 billion) and EPYC CPU sales.",AMD,AMD_10-K_2025-02-05,segment_revenue
How did AMD's Gaming segment perform in fiscal year 2024?,"AMD's Gaming segment revenue was $2.6 billion in 2024, down 58% compared to the prior year. The decline was primarily due to a decrease in semi-custom revenue from gaming console SoCs.",AMD,AMD_10-K_2025-02-05,segment_revenue
What were AMD's main risk factors as disclosed in its 2025 10-K?,"AMD's key risk factors include: (1) intense competition from Intel in CPUs and NVIDIA in GPUs, (2) dependence on third-party manufacturers such as TSMC for chip production, (3) export control restrictions that may limit sales to certain markets including China, and (4) supply chain disruptions that could impact product availability and revenue.",AMD,AMD_10-K_2026-02-04,risk_factors
What was NVIDIA's full-year revenue for fiscal year 2025 (ending January 2025)?,"NVIDIA reported record full-year fiscal 2025 revenue of $130.5 billion, up 114% from the prior year. Data Center revenue for fiscal 2025 was $115.2 billion, representing the vast majority of total revenue.",NVDA,NVDA_10-K_2025-02-26,annual_revenue
What was NVIDIA's Data Center revenue for Q1 fiscal year 2026 (quarter ending April 2025)?,"NVIDIA's Data Center revenue for Q1 FY2026 was $22.6 billion, up 73% year-over-year, driven by strong demand for Blackwell architecture GPUs from hyperscale cloud providers.",NVDA,NVDA_10-Q_2025-05-28,segment_revenue
How does Palantir generate revenue from its two main segments?,"Palantir generates revenue through two segments: (1) Government — contracts with U.S. federal agencies (including DoD and intelligence community) and international governments for data analytics and AI platforms; (2) Commercial — enterprise software subscriptions for private sector clients using the Palantir AIP and Foundry platforms. Revenue from multi-year contracts is recognized over the contract period.",PLTR,PLTR_10-K_2025-02-18,business_model
What was Palantir's total revenue for fiscal year 2024?,"Palantir reported total revenue of $2.87 billion for fiscal year 2024, up approximately 29% year-over-year. U.S. commercial revenue grew significantly, driven by strong adoption of the Palantir AIP (Artificial Intelligence Platform) product.",PLTR,PLTR_10-K_2025-02-18,annual_revenue
How has AMD's gross margin trended from fiscal year 2023 to 2024?,"AMD's GAAP gross margin was 46% in fiscal 2023 and improved to 49% in fiscal 2024. On a non-GAAP basis, gross margin improved from 51% in 2023 to a record 53% in 2024, reflecting a more favorable product mix driven by higher-margin Data Center products.",AMD,AMD_10-K_2025-02-05,gross_margin
What are Palantir's key competitive advantages as described in its SEC filings?,"Palantir highlights three key competitive advantages in its filings: (1) its Ontology — a proprietary data model that connects enterprise data to real-world operations; (2) deep customer integrations that create high switching costs after deployment; (3) a unique go-to-market model combining forward-deployed engineers with software, allowing rapid deployment in complex government and enterprise environments.",PLTR,PLTR_10-K_2025-02-18,competitive_advantage
